"","ID","Intercept","umol.L.sec","Temp.C"
"971","P1_AD_42C_O2",99.3779593522267,-0.0243286504723347,41.988641509434
"972","P1_AL_16C_O2",321.658164612159,0.0909328022361984,15.853606557377
"973","P1_AL_20C_O2",327.536165730994,0.10119216374269,19.7478695652174
"974","P1_AL_22C_O2",277.684161784642,0.0977227284427284,21.9095636363636
"975","P1_AL_24C_O2",266.26793862473,0.108890052420598,23.7742075471698
"976","P1_AL_26C_O2",322.795530871795,0.120044512820513,26.0216923076923
"977","P1_AL_28C_O2",258.992533576425,0.108258525781271,27.8368936170213
"978","P1_AL_30C_O2",227.099826097561,0.0852982926829268,30.06022
"979","P1_AL_32C_O2",238.760126595144,0.0734555618294752,31.872
"980","P1_AL_34C_O2",176.355398661029,0.0618529245947851,34.1261886792453
"981","P1_AL_36C_O2",196.16211764411,0.0320883709273183,35.809347826087
"982","P1_AL_39C_O2",126.871830364146,-0.0174303641456583,39.0184615384615
"983","P1_AL_42C_O2",99.0009627906977,-0.0241039867109634,42.1996025641026
"984","P1_ND_16C_O2",263.246347117794,-0.0151674185463659,16.30875
"985","P1_ND_20C_O2",255.026869269195,-0.0189736170212765,19.8741176470588
"986","P1_ND_22C_O2",255.457536110874,-0.020798810438544,21.8116349206349
"987","P1_ND_24C_O2",242.289407154472,-0.0231815447154472,23.8363962264151
"988","P1_ND_26C_O2",245.504462807017,-0.0245304858299594,25.902568627451
"989","P1_ND_28C_O2",209.851359455015,-0.0253192858820766,27.9076346153846
"990","P1_ND_30C_O2",212.321766896552,-0.020324039408867,29.6565813953488
"991","P1_ND_32C_O2",204.307689644269,-0.0262499429073341,31.8498823529412
"992","P1_ND_34C_O2",163.193764912281,-0.0298220551378447,33.7537916666667
"993","P1_ND_36C_O2",151.855041125541,-0.0282402597402597,35.757
"994","P1_ND_39C_O2",109.269589589744,-0.0329957435897435,38.9979
"995","P1_ND_42C_O2",127.038876771072,-0.0122478940667175,42.0797164179104
"996","P1_NL_16C_O2",369.085630358975,0.0766650256410253,15.9481071428571
"997","P1_NL_20C_O2",259.853426244898,0.0801827346938775,19.4614090909091
"998","P1_NL_22C_O2",234.298117048419,0.124937021208483,22.0368867924528
"999","P1_NL_24C_O2",247.596545218703,0.12665628959276,23.9366851851852
"1000","P1_NL_26C_O2",222.149795265866,0.127980479003875,25.7284615384615
"1001","P1_NL_28C_O2",204.024019119524,0.129862049093628,27.8355714285714
"1002","P1_NL_30C_O2",181.055363344408,0.13263937380449,30.0722641509434
"1003","P1_NL_32C_O2",176.437391547853,0.119275872961667,31.825320754717
"1004","P1_NL_34C_O2",187.144664753325,0.0996025997425997,33.9525873015873
"1005","P1_NL_36C_O2",173.724574516129,0.0400101612903226,36.2618461538462
"1006","P1_NL_39C_O2",132.625414401186,-0.0308387986651835,39.1563653846154
"1007","P1_NL_42C_O2",112.025989266132,-0.0400939848202469,41.9163442622951
"1008","P10_AD_16C_O2",206.913467077694,-0.013631588972431,15.9753146067416
"1009","P10_AD_20C_O2",195.415300178253,-0.0182520499108734,19.9038958333333
"1010","P10_AD_22C_O2",196.323310900307,-0.0196075186649101,21.8275
"1011","P10_AD_24C_O2",195.005072103683,-0.0211157262525682,23.8721509433962
"1012","P10_AD_26C_O2",189.449306308506,-0.0221113553113555,25.7828510638298
"1013","P10_AD_28C_O2",186.988069332903,-0.0233496909100684,27.8228032786885
"1014","P10_AD_30C_O2",163.003345954526,-0.023340592020592,29.7379024390244
"1015","P10_AD_32C_O2",146.064240402919,-0.0238027217596876,31.8171960784314
"1016","P10_AD_34C_O2",119.339712376715,-0.0245606525769373,33.7168333333333
"1017","P10_AD_36C_O2",113.297063802808,-0.0210431942062131,35.8733125
"1018","P10_AD_39C_O2",82.8196905263158,-0.0232431578947368,38.8193548387097
"1019","P10_AD_42C_O2",69.0154302903601,-0.0151769802555169,42.0060943396226
"1020","P10_AL_16C_O2",256.460593873933,0.0636152554638877,15.8713833333333
"1021","P10_AL_20C_O2",261.702848692811,0.0708081699346401,19.7681
